node,degree,shell,x,y,is_hub
365,3,3,-0.14080709482933257,0.42097872632675515,0
366,4,2,-0.27876085504867026,0.12811425023498549,0
367,2,1,0.15453496623485943,-0.17567940400672247,0
368,4,1,-0.17045936823229238,0.042231167788474876,0
369,2,2,-0.19217445576834891,0.23381866549738531,0
370,5,3,-0.13266894156454787,0.41779304473976275,0
371,3,1,0.22395037248710581,0.039123374176672485,0
372,2,1,0.21726771484110485,0.059821909698034845,0
373,2,1,0.20123285799390839,-0.094519406723507809,0
374,3,3,0.12323322010527044,0.45928163637380159,0
375,4,2,-0.22631444703971643,-0.2818847897526644,0
376,4,2,0.061937448373580201,0.30320370861122065,0
377,2,2,-0.32406835557340313,-0.15651387937276648,0
378,4,1,0.029865765347070958,0.1560388905777241,0
379,4,2,-0.14734016453199766,0.27146469718258559,0
380,2,2,0.0034923560644623056,0.34283413069945345,0
381,2,2,-0.29597759561643511,0.067172461635773728,0
382,5,2,-0.32162292592520919,-0.081472456271922372,0
383,2,3,0.065379636178577172,0.45120916470565731,0
384,2,2,-0.19433087067471314,-0.33232423119166965,0
385,2,2,0.0041863386096833294,0.3083893473133526,0
386,2,1,-0.00062336424083212633,0.18340631791050577,0
387,3,2,0.17965787818431009,-0.35400239976417069,0
388,3,2,0.040081727738199374,0.34684789642955227,0
389,3,2,-0.3254605252449615,-0.12692524817683831,0
390,2,2,-0.30264221904108446,0.065503139715740386,0
391,3,1,-0.10195940598820111,0.13273766038000714,0
392,5,3,0.14800082948199803,0.4411396513318141,0
393,3,1,0.016848482557146285,0.18059602384258222,0
394,5,1,0.13889750907023121,-0.21392988446949521,0
395,3,2,-0.2770544192568426,0.096747352150798993,0
396,3,1,0.014838974636847052,0.18688921196915356,0
397,2,2,-0.19324141226492092,0.23198152281508158,0
398,3,2,0.28413587468933488,0.19304428977219124,0
399,9,2,-0.099143027824824634,0.28696858119028834,0
400,5,1,0.14489241246631371,-0.21462118609041961,0
401,4,3,-0.44380838863057975,-0.075785992838729554,0
402,5,2,-0.13178532209581725,0.28114056136716054,0
403,3,2,0.037347002544520599,0.31098934484323149,0
404,2,2,-0.19933966091257024,0.23611509904862701,0
405,3,3,-0.15496424868347641,0.43938505333239875,0
406,2,2,-0.16466868472386237,-0.29823343403692337,0
407,5,1,0.036140066364403367,0.16052629046752503,0
408,4,1,-0.17494982277526588,-0.091201057109921879,0
409,2,3,0.063232145940909493,0.4592703509666447,0
410,3,3,0.12005781431311438,0.45790810711167607,0
411,3,3,0.12040785358711081,0.47514785295764284,0
412,5,2,-0.060403886430426219,-0.40203083790430871,0
413,4,1,-0.094274705855886709,0.14772235736008921,0
414,3,2,0.1792142096271537,-0.33233701600389387,0
415,4,2,0.062462049017436738,0.320596023993729,0
416,2,2,0.0025869579431258144,0.31248592426567356,0
417,6,1,0.21528790753767674,-0.12974953613657927,0
418,3,1,0.14964265685264375,0.16667226869392612,0
419,4,1,0.14646035868035662,-0.19291255920915687,0
420,4,2,0.062059257911814256,0.33022435385732196,0
421,2,2,-0.16449366317499242,-0.30494863273762252,0
422,3,2,0.036152715478509304,0.31543033715969016,0
423,5,2,0.34106038648511239,-0.21398790759602745,0
424,2,2,0.21203720396030595,0.26096841107630131,0
425,2,2,-0.2112217357526486,0.24688925818089613,0
426,2,2,0.0016155312227855573,0.30719886373511329,0
427,4,1,0.15410743775420135,0.14725995692944649,0
428,4,2,0.060763697202852421,0.33150290486514689,0
429,2,3,0.060842901087049539,0.4652185573141564,0
430,7,2,0.10220935122511837,0.30953115259006619,0
431,2,1,0.20811422321284589,-0.093162997511634121,0
432,3,2,0.3594281307253267,-0.0094580561046752748,0
433,2,3,-0.22145643009576238,0.38939222882011548,0
434,2,1,-0.12085263720040236,0.12047928865342949,0
435,2,3,-0.2190969638233165,0.37260489822635134,0
436,2,2,-0.0011326006973096311,0.3263580588531263,0
437,2,2,-0.21537903290377544,0.24844618626824511,0
438,3,2,-0.16526130745275044,0.25814358904822043,0
439,4,2,0.056039976801339333,0.29641269994793018,0
440,3,2,-0.31743548285613898,-0.12882151692884322,0
441,4,1,0.23625348928704265,0.024456568620949165,0
442,3,3,0.11809749477070916,0.47887678666356781,0
443,2,2,0.028260014421442811,-0.40151818327106037,0
444,2,3,0.059484052843077798,0.48780225143058409,0
445,3,3,-0.16289149878998932,0.44057058952017125,0
446,4,2,0.056858594543113788,0.31977224928754089,0
447,3,2,0.27282987106673462,0.20956692610389099,0
448,2,2,-0.19701230630400099,0.22419183813644072,0
449,5,2,-0.23824575662068462,-0.27541933709394195,0
450,2,2,-0.0026024725302843943,0.32725380392724313,0
451,3,3,0.10738642644458796,0.43518510948008748,0
452,2,1,0.23243502662633764,-0.09723280874661086,0
453,3,3,0.1085891548601392,0.45832769845492727,0
454,5,1,0.14747831319714988,0.12719660737264976,0
455,3,1,-0.099730034418265542,-0.1986041287810322,0
456,2,2,0.34619521510316587,0.049212439493750849,0
457,3,3,0.10567832528977761,0.45809773410600763,0
458,3,3,-0.17127633627617983,0.44256589554387993,0
459,4,2,-0.33671448707351664,-0.09612050416787804,0
460,2,2,0.34301308688889165,-0.14657202220798735,0
461,3,2,-0.29059109414104078,0.098601188652762892,0
462,2,3,-0.23920129702250509,0.39249515127733137,0
463,2,2,-0.31133557406661638,0.064274375845501719,0
464,6,1,0.045702698396462155,0.17926651081797323,0
465,3,1,-0.091825897346527574,-0.19461979059423715,0
466,2,2,0.35954971907548139,-0.14319710357733662,0
467,3,3,0.10592890424307547,0.47773692234506948,0
468,2,2,-0.20591606374113708,0.23127412145481768,0
469,2,2,-0.0013858971838139542,0.29537380319721757,0
470,2,2,-0.16736035510095615,-0.31641942273419577,0
471,6,2,-0.28564328519617299,0.15265977526838684,0
472,5,1,0.035880954482033781,0.18699354119427555,0
473,2,1,-0.0039411720472442568,0.19546153604047206,0
474,2,3,-0.46793417864222475,-0.15166114186405122,0
475,2,2,-0.0042839988541394786,0.3141627895851915,0
476,2,3,-0.44493402113851205,0.12285773649071721,0
477,2,3,-0.47568226976707217,0.11305936750621429,0
478,4,2,0.056662600226662987,0.33347732595800295,0
479,3,2,-0.16954046148786175,0.26090617173634123,0
480,5,1,0.25179193763273111,0.0089704401047160098,0
481,4,1,0.23731863904311712,0.02940546207880098,0
482,2,2,-0.17347737653287554,-0.33333817450605718,0
483,2,3,-0.2454609773003002,0.38954326894998692,0
